"Police.Service","Period","Total.Cases","Firearm.Injuries","Firearm.Deaths","Custody.Injuries","Custody.Deaths","Vehicle.Injuries","Vehicle.Deaths","Sexual.Assault.Complaints","Other","Year","muniName","Population.2006","Population.2011","Pop.density"
"Chatham-Kent Police Service","2005-2006",3,NA,NA,1,NA,NA,1,1,NA,2006,"Chatham-Kent",NA,"103,671 ","42.2"
"Cobourg Police Service","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2012-2013",1,NA,NA,NA,NA,1,NA,NA,NA,2013,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2006-2007",1,NA,NA,NA,NA,1,NA,NA,NA,2007,"Cobourg","18,210","18,519","827.8"
"Cobourg Police Service","2005-2006",1,NA,NA,1,NA,NA,NA,NA,NA,2006,"Cobourg","18,210","18,519","827.8"
"Cornwall Police Service","2013-2014",3,NA,NA,2,NA,NA,NA,1,NA,2014,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2012-2013",3,NA,NA,NA,1,NA,NA,2,NA,2013,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2011-2012",4,NA,NA,1,NA,1,NA,2,NA,2012,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2010-2011",4,NA,NA,3,NA,NA,NA,1,NA,2011,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2009-2010",3,NA,NA,2,NA,NA,NA,1,NA,2010,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2008-2009",1,NA,NA,NA,NA,NA,NA,1,NA,2009,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2007-2008",1,NA,NA,1,NA,NA,NA,NA,NA,2008,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Cornwall","45,965","46,340","753.2"
"Cornwall Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Cornwall","45,965","46,340","753.2"
"Deep River Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Deep River","4,216","4,193","82.4"
"Deep River Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Deep River","4,216","4,193","82.4"
"Dryden Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2010-2011",1,NA,NA,NA,1,NA,NA,NA,NA,2011,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Dryden","8,195","7,617","115.7"
"Dryden Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Dryden","8,195","7,617","115.7"
"Durham Regional Police Service","2013-2014",6,NA,1,3,NA,2,NA,NA,NA,2014,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2012-2013",6,3,NA,3,NA,NA,NA,NA,NA,2013,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2011-2012",11,NA,NA,3,1,2,NA,5,NA,2012,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2010-2011",7,NA,NA,4,1,NA,1,1,NA,2011,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2009-2010",8,NA,NA,4,NA,3,1,NA,NA,2010,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2008-2009",11,NA,1,7,1,1,NA,1,NA,2009,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2007-2008",7,NA,NA,3,2,NA,NA,1,1,2008,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2006-2007",10,1,NA,6,NA,2,NA,1,NA,2007,"Durham Region","589,850","589,850","233.731702871272"
"Durham Regional Police Service","2005-2006",9,NA,1,3,2,2,NA,1,NA,2006,"Durham Region","589,850","589,850","233.731702871272"
"Espanola Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Espanola","5,314","5,364","65.1"
"Espanola Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Espanola","5,314","5,364","65.1"
